,URL,Dataset,Tag,Sum Response Size,Avg Response Size,Count
39,https://ocl5w36p.apicdn.sanity.io/v2024-02-24/data/query/prod5?query=%7B%0A++++++++%22pressroomData%22%3A+*%5B_type+%3D%3D+%22article%22+%26%26+isPressroom+%3D%3D+true+%26%26+%21%28_id+in+path%28%22drafts.**%22%29%29%5D%7B%0A++++++++++title%2C+identifier%2C+brandName%2C+pressroomThemeType%2C+articleContent%2C%0A++++++++++thumbnail%5B0%5D%2C+createdDate%2C%0A++++++++++%22publishedYear%22%3A+string%3A%3Asplit%28createdDate%2C+%22-%22%29%5B0%5D%0A++++++++%7D+%7C+order%28createdDate+desc%29%0A++++++%7D%7B%0A++++++++pressroomData%5B%5D%2C%0A++++++++%22pressroomBrands%22%3A+array%3A%3Acompact%28array%3A%3Aunique%28pressroomData%5B%5D.brandName%29%29%2C%0A++++++++%22pressroomPublishedYears%22%3A+array%3A%3Acompact%28array%3A%3Aunique%28pressroomData%5B%5D.publishedYear%29%29%0A++++++%7D&returnQuery=false,prod5,,13 GB,1.26 MB,"10,297"
40,https://cdn.sanity.io/images/ocl5w36p/prod5/cf09f509b37e752b4dba68e95a2bd1690d3e2a31-948x1080.png,prod5,,13 GB,2.09 MB,"6,083"
41,https://cdn.sanity.io/images/ocl5w36p/prod5/0a43428732246d7b3b420337ae78e034d7677011-640x880.jpg?w=640&auto=format,prod5,,12 GB,147974.3,"81,424"
42,https://cdn.sanity.io/images/ocl5w36p/prod5/7e8fa2ce3bb087b1a96af854c84c9eaa3b0626ec-1400x1120.png,prod5,,12 GB,3.03 MB,"3,915"
43,https://cdn.sanity.io/images/ocl5w36p/prod5/a21e08ed7b9d76b7c61b8b418b685d32a82cd26e-948x1080.png,prod5,,12 GB,1.92 MB,"6,110"
44,https://cdn.sanity.io/images/ocl5w36p/prod5/d0cd51ed7714e6fbea5b498c44eec233fcb1d946-3840x1860.jpg?w=1920&auto=format&dpr=2,prod5,,12 GB,648381.,"17,899"
45,https://cdn.sanity.io/images/ocl5w36p/prod5/19efefd7d04be71b5d04f92ddc1d840c34170e63-1400x1120.png,prod5,,11 GB,3.25 MB,"3,500"
46,https://cdn.sanity.io/images/ocl5w36p/prod5/7ab04179da8585ff3fa6717883770fbeeab24a31-984x553.png,prod5,,11 GB,1.18 MB,"9,496"
47,https://cdn.sanity.io/images/ocl5w36p/prod5/ec875d03c92835f4a54b9007ddd3a85511f28cac-948x1080.png,prod5,,11 GB,1.82 MB,"6,145"
48,https://cdn.sanity.io/images/ocl5w36p/prod5/bb56b0291b8cc44abe3c3c0d3e434128b4583b9b-6000x3508.jpg,prod5,,11 GB,2.89 MB,"3,788"
49,https://cdn.sanity.io/images/ocl5w36p/prod5/d3ba5744eb66308befed16914e29ef00444b700f-948x1080.png,prod5,,11 GB,1.77 MB,"6,088"
50,https://cdn.sanity.io/images/ocl5w36p/prod5/ecfa9a4c76079f21f214f3de26c88253492c6b32-1400x1120.png,prod5,,11 GB,3.60 MB,"2,954"
51,https://cdn.sanity.io/images/ocl5w36p/prod5/d8c0aa5f833f86d6d1d7e1cb23aed99b0b605a35-948x1080.png,prod5,,11 GB,1.75 MB,"6,005"
52,https://cdn.sanity.io/images/ocl5w36p/prod5/bd079b3346df3255f7cc51aa7f1ef80701dde427-948x1080.png,prod5,,10 GB,1.83 MB,"5,711"
53,https://cdn.sanity.io/images/ocl5w36p/prod5/785ad1ee0b7e3da11bf5042ce9cb68542eb7e784-1400x1120.png,prod5,,10 GB,3.27 MB,"3,082"
54,https://cdn.sanity.io/images/ocl5w36p/prod5/f4606225c1f2c86dc39a26e7f2f4e3bea6e72b65-1400x1120.png,prod5,,10 GB,2.13 MB,"4,725"
55,https://cdn.sanity.io/images/ocl5w36p/prod5/32a5ba3f2f94fbae4dd3806c3e11959f0d081962-1400x1120.png,prod5,,10 GB,2.04 MB,"4,917"
56,https://cdn.sanity.io/images/ocl5w36p/prod5/edb4260a8be5816711a61ebe356d9d61d6cd6a8b-948x1080.png,prod5,,10 GB,1.74 MB,"5,695"
57,https://cdn.sanity.io/images/ocl5w36p/prod5/05d89a43cc058ef394ed0c2488c31c1610749613-1400x1120.png,prod5,,10 GB,2.13 MB,"4,498"
58,https://cdn.sanity.io/images/ocl5w36p/prod5/1452b11ed0d0e410606ebb372a5358a0fe213cfe-3841x1861.jpg?w=1920&auto=format&dpr=2,prod5,,10 GB,532581.6,"17,937"
59,https://cdn.sanity.io/images/ocl5w36p/prod5/425751a4a650c41fb8b781925aae8265ed662b6c-2352x1328.jpg,prod5,,9 GB,448464.6,"21,054"
60,https://cdn.sanity.io/images/ocl5w36p/prod5/1230521c1d42bbb1b2d4df23e7658d0515fc58cc-1400x1120.png,prod5,,9 GB,1.97 MB,"4,780"
61,https://cdn.sanity.io/images/ocl5w36p/prod5/c51b0baa2a30bb0fc6b7c9a9280f636f2380d1e9-1400x1120.png,prod5,,9 GB,2.06 MB,"4,570"
62,https://cdn.sanity.io/images/ocl5w36p/prod5/15eee8c332cac1563113294f434409cdced5c9b6-948x1080.png,prod5,,9 GB,1.60 MB,"5,718"
63,https://cdn.sanity.io/images/ocl5w36p/prod5/3da1d7e159b58b99ec5381674cfdfd1c154a2aae-3840x1860.jpg?w=1024&auto=format&dpr=2,prod5,,9 GB,475847.3,"17,920"
64,https://cdn.sanity.io/images/ocl5w36p/prod5/0153367c8ecd09a3efa7cc11116cadb6e9ab942e-3840x1860.jpg?w=1920&auto=format&dpr=2,prod5,,8 GB,462107.2,"17,923"
65,https://cdn.sanity.io/images/ocl5w36p/prod5/1507ef5672939e9b25a9ef344048a6d783f98dd2-3840x1860.jpg?w=1920&auto=format&dpr=2,prod5,,8 GB,443454.1,"17,928"
66,https://cdn.sanity.io/images/ocl5w36p/prod5/105e86e8a381840537744ecfa371673c483defa2-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,8 GB,247940.6,"32,034"
67,https://cdn.sanity.io/images/ocl5w36p/prod5/7158bd9fcc7a21801153796eef3bc2ae23b2e763-1066x682.jpg?w=480&auto=format&dpr=2,prod5,,8 GB,44340.9,"177,686"
68,https://cdn.sanity.io/images/ocl5w36p/prod5/24f15fbaaac70d6f8bad8b1cecd7f993c2c30155-135x86.png?w=480&auto=format&dpr=2,prod5,,7 GB,24797.8,"289,044"
69,https://cdn.sanity.io/images/ocl5w36p/prod5/142cfc443aee2a568711234afa465b73f1bbe47b-952x644.webp?w=480&auto=format&dpr=2,prod5,,7 GB,73106.2,"97,750"
70,https://cdn.sanity.io/images/ocl5w36p/prod5/076ecd95e7ea864176399feaa11c49b19042a2b3-1720x1112.jpg?w=1920&auto=format&dpr=2,prod5,,7 GB,413810.5,"16,862"
71,https://ocl5w36p.apicdn.sanity.io/v2024-02-24/data/query/prod5?query=%7B%0A%22pressroomData%22%3A*%5B_type+%3D%3D+%22article%22+%26%26+isPressroom+%3D%3D+true+%26%26+%21%28_id+in+path%28%22drafts.**%22%29%29%5D%7B%0Atitle%2Cidentifier%2CbrandName%2CarticleContent%2Cthumbnail%5B0%5D%2CcreatedDate%2CreadTime%2C%22publishedYear%22%3A+string%3A%3Asplit%28createdDate%2C+%22-%22%29%5B0%5D%0A%7D%7Corder%28createdDate+desc%29%0A+%0A%7D%0A%7B%0ApressroomData%5B%5D%2C%0A%22pressroomBrands%22%3A+array%3A%3Acompact%28array%3A%3Aunique%28pressroomData%5B%5D.brandName%29%29%2C%0A%22pressroomPublishedYears%22%3A+array%3A%3Acompact%28array%3A%3Aunique%28pressroomData%5B%5D.publishedYear%29%29%2C%0A%7D%0A&returnQuery=false,prod5,,7 GB,1.44 MB,"4,829"
72,https://cdn.sanity.io/images/ocl5w36p/prod5/de2bfcde42ce5bb791ca5c398da8b7a475dd6786-1400x1120.png,prod5,,7 GB,2.86 MB,"2,393"
73,https://cdn.sanity.io/images/ocl5w36p/prod5/c17c36c36832819053ed5f307795fd3117b6725a-952x644.webp?w=480&auto=format&dpr=2,prod5,,7 GB,61114.,"111,025"
74,https://cdn.sanity.io/files/ocl5w36p/prod5/03080ce76de50f6dc836bf46c9826f18c7ca7fc0.pdf,prod5,,7 GB,6.45 MB,"1,017"
75,https://cdn.sanity.io/images/ocl5w36p/prod5/090e5e9d829678d2f5b7cf22c73abc39d79cbcc9-952x644.webp?w=480&auto=format&dpr=2,prod5,,6 GB,72420.9,"88,311"
76,https://cdn.sanity.io/images/ocl5w36p/prod5/cf81dc5b367fd47f72eb16dd58a01161c701c93d-3840x1840.jpg?w=480&auto=format&dpr=2,prod5,,6 GB,49229.,"129,806"
77,https://cdn.sanity.io/images/ocl5w36p/prod5/e8bc93cca7a55602ee1d19993c59a90ee9c356ab-952x644.webp?w=480&auto=format&dpr=2,prod5,,6 GB,56056.9,"110,491"
78,https://cdn.sanity.io/images/ocl5w36p/prod5/f2228093ff0018cb78203081778168042d2507f0-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,6 GB,70121.9,"87,433"
79,https://cdn.sanity.io/images/ocl5w36p/prod5/112d21117cbe0a5291d6de85695f5a05597759de-1440x974.jpg?w=480&auto=format&dpr=2,prod5,,6 GB,79377.8,"76,688"
80,https://cdn.sanity.io/images/ocl5w36p/prod5/17a2fdf4eedfa6fc4e7027eaeefc91afb11ee6a8-3841x1860.jpg?w=1920&auto=format&dpr=2,prod5,,6 GB,339150.6,"17,935"
81,https://cdn.sanity.io/images/ocl5w36p/prod5/683e2bae36fc8a6bc564b587e98463fa87d12e39-3552x2895.jpg,prod5,,6 GB,2.71 MB,"2,205"
82,https://cdn.sanity.io/images/ocl5w36p/prod5/d6ad71bd4d5051dcff74b001ae2f36909b2abcdc-533x341.jpg?w=480&auto=format&dpr=2,prod5,,6 GB,63609.,"93,416"
83,https://cdn.sanity.io/images/ocl5w36p/prod5/e614e2434f38ccbc5aa63633b9762db5869521c7-1296x1758.jpg?w=480&auto=format&dpr=2,prod5,,6 GB,255762.4,"22,907"
84,https://cdn.sanity.io/images/ocl5w36p/prod5/84ff76ca9c9677a951a74d4656ea9a5a3c1d9dfb-640x703.jpg,prod5,,6 GB,26295.4,"222,120"
85,https://cdn.sanity.io/images/ocl5w36p/prod5/5806923c0bb4e606e8fe505aa647bbd44f1c23b1-1440x974.jpg?w=480&auto=format&dpr=2,prod5,,6 GB,73784.5,"78,754"
86,https://cdn.sanity.io/images/ocl5w36p/prod5/041aa58c42de84a3687b51fe266902f8b02fac04-1280x1742.jpg?w=480&auto=format&dpr=2,prod5,,6 GB,66130.5,"87,808"
